snap(0,0,0)

sky(255,253,248)
fog(255,251,220)
ground(215,213,165)
polys(223,223,182)

fadefrom(6000)
density(4)

name(Fantasy Desert)
nlaps(3)
soundtrack(intex.mod,300,152)

//set(24,0,-2000,180)p
set(48,0,0,0)p
set(15,0,5600,0)
set(15,0,8000,0)
set(15,0,12000,0)p
chk(42,0,16000,0)
set(15,0,16000,0)
set(17,0,20450,0)pt
set(15,4450,20450,90)
set(15,8450,20450,90)
set(15,12450,20450,90)
set(33,12450,20450,90)pr
set(15,16450,20450,90)p
//set(24,18450,20450,-90)
set(15,20450,20450,90)
set(33,20450,20450,90)pr
set(15,24450,20450,90)
set(15,28450,20450,90)p
chk(42,28450,20450,90)
set(15,32450,20450,90)
set(17,36900,20450,180)pt
set(15,36900,24900,0)
set(15,36900,28900,0)p
set(20,36900,32900,0)
set(14,36900,37350,-90)pt
set(10,32450,37350,90)p
chk(40,32450,37350,90)
set(14,28000,37350,0)pt
set(10,28000,32900,0)p
set(14,28000,28450,90)pt
set(10,32450,28450,90)p
set(26,34450,28450,-90)pr
set(30,40450,28450,90)
set(10,42450,28450,90)p
set(10,46450,28450,90)
set(10,50450,28450,90)
set(10,54450,28450,90)
set(10,58450,28450,90)
chk(40,64500,28450,90)
set(10,62450,28450,90)p
set(14,66900,28450,180)pt
set(10,66900,32900,0)
set(23,66900,34900,180)
set(45,65500,40900,0)
set(45,66900,40900,0)p
set(45,68300,40900,0)
set(46,65500,44900,0)
set(46,66900,44900,0)p
set(46,68300,44900,0)
set(46,65500,48900,0)
set(26,66900,48900,-320,0)
set(46,66900,48900,0)p
set(46,68300,48900,0)
set(46,65500,52900,0)
set(46,66900,52900,0)p
set(46,68300,52900,0)
set(46,65500,56900,0)
set(46,66900,56900,0)p
set(46,68300,56900,0)
set(46,65500,60900,0)
set(46,66900,60900,0)p
set(46,68300,60900,0)
set(46,65500,64900,0)
chk(40,66900,64900,-320,0)
set(46,66900,64900,0)p
set(46,68300,64900,0)
set(46,65500,68900,0)
set(46,66900,68900,0)p
set(46,68300,68900,0)
set(46,65500,72900,0)
set(46,66900,72900,0)p
set(46,68300,72900,0)
set(45,65500,76900,180)
set(45,66900,76900,180)p
set(45,68300,76900,180)
set(13,65500,80900,0)
set(10,66900,80900,0)p
set(12,68300,80900,0)
set(23,68200,84100,-150)
set(10,66900,85000,0)p
set(23,65600,84100,150)
set(13,65390,90600,30)p
set(10,63870,96230,0)p
set(10,63870,101830,0)//length: 5600
chk(40,63870,102830,0)
set(14,63870,106280,-90)pt
set(10,59420,106280,90)
set(10,53820,106280,90)
set(29,48220,106280,90)
set(10,48220,106280,90)
set(10,42620,106280,90)
set(20,37020,106280,-90)
set(15,31420,106280,90)
set(15,25820,106280,90)
chk(42,20220,106280,90)
set(15,20220,106280,90)p
set(17,15770,106280,0)pt
set(15,15770,101830,0)po
set(15,15770,96230,0)p
set(15,15770,90630,0)p
set(15,15770,85030,0)p
set(34,15770,85030,0)pr
fix(41,15770,82430,-2000,0)s
set(15,15770,79430,0)
set(15,15770,73830,0)
set(15,15770,68230,0)
set(15,15770,62630,0)
set(15,15770,57030,0)
set(15,15770,51430,0)
set(15,15770,45830,0)
set(15,15770,40230,0)
set(15,15770,34630,0)
set(15,15770,29030,0)
set(15,15770,23430,0)
set(35,15770,23430,0)pr
set(15,15770,17830,0)
set(35,15770,17830,0)pr
set(15,15770,12230,0)
set(15,15770,6630,0)
set(15,15770,1030,0)
chk(42,15770,-1500,0)
set(15,15770,-1500,0)p
set(17,15770,-5950,90)pt
set(15,20220,-5950,90)
set(15,21250,-5950,90)
set(15,26850,-5950,90)
set(15,32450,-5950,90)
set(34,32450,-5950,90)pr
set(15,38050,-5950,90)
set(15,43650,-5950,90)
set(17,48100,-5950,-90)pt
set(15,48100,-10400,0)
chk(42,48100,-13200,0)
set(15,48100,-16000,0)
set(17,48100,-20450,180)pt
set(15,43650,-20450,-90)
set(15,38050,-20450,-90)
set(15,32450,-20450,-90)
set(34,32450,-20450,-90)pr
set(15,26850,-20450,-90)
set(15,21250,-20450,-90)
set(15,15650,-20450,-90)
set(15,10050,-20450,-90)
chk(42,4450,-20450,-90)
set(15,4450,-20450,-90)p
set(17,0,-20450,90)pt
set(15,0,-16000,0)p
set(15,0,-12000,0)
set(15,0,-8000,0)
set(15,0,-4000,0)

//Floating help tracks
set(10,63500,64900,0,0)
set(10,64000,64900,-150,0)
set(10,69800,64900,-150,0)
set(10,69300,64900,0,0)
//

maxl(30,-10504,-26685)
maxb(18,-29085,-8104)
maxr(30,75897,-26685)
maxt(18,114915,-8104)
