snap(10,10,10)
sky(180,230,235)
ground(225,205,150)
polys(215,195,140)
clouds(233,235,246,0,-843)
mountains(1)
fadefrom(0)

name(Floating Ramp Paradise)
nlaps(10)

set(77,0,0,-2000000000,0)

set(10,0,0,250,0)p
set(23,0,-2500,250,0)
set(10,0,5600,250,0)
set(10,0,11200,250,0)
set(31,0,11200,250,0)
set(31,0,18300,-2000,0)
set(31,0,25400,-4000,0)
set(37,0,29200,-6000,0)
set(31,0,32500,-6000,0)
set(31,0,39600,-8000,0)
set(31,0,46700,-10000,0)
set(31,0,53800,-12000,0)
set(31,0,60900,-13800,0)
set(31,0,68000,-16000,0)
set(31,0,75100,-18000,0)
set(31,0,82200,-20000,0)
set(31,0,89300,-23000,0)
set(31,0,96400,-26000,0)
set(31,0,103500,-30000,0)

set(31,-2000,11200,250,30)
set(31,2000,11200,250,-30)
set(31,-3000,25200,-3000,0)p
set(10,-3000,20200,-3000,0)
set(23,-3000,17500,-3000,0)
chk(40,-3000,29000,-5700,0)

set(37,0,29200,-6000,0)
set(37,2000,29200,-6000,0)
set(37,-2000,29200,-6000,0)
set(35,5000,18600,-1250,0)
set(45,6000,17200,-1000,-90)
set(45,6000,18600,-1000,-90)
set(45,7900,14600,-1500,180)
set(35,5000,21000,-2000,0)
set(36,6000,25500,-2000,-90)
set(36,4000,25500,-2000,90)
set(36,6000,27300,-2000,-90)
set(36,4000,27300,-2000,90)
set(36,6000,29100,-2000,-90)
set(36,4000,28600,-2000,90)
set(36,6000,30900,-2000,-90)
set(36,4000,31300,-2000,90)
set(36,6000,32700,-2000,-90)
set(36,4000,32700,-2000,90)
set(36,6000,34500,-2000,-90)
set(36,4000,34500,-2000,90)
set(22,4500,30100,-2000,0)
set(22,3500,30200,-2200,0)
set(22,2500,30300,-2400,0)
set(22,1500,30400,-2600,0)
set(10,9000,17200,-1000,-90)p
set(14,13000,17200,-1000,180)pt
set(10,13000,21200,-1000,0)p
set(22,13000,24200,-7000,90)
set(22,13000,24200,-6750,90)
set(22,13000,24200,-6500,90)
set(22,13000,24200,-6250,90)
set(22,13000,24200,-6000,90)
set(22,13000,24200,-5750,90)
set(22,13000,24200,-5500,90)
set(22,13000,24200,-5250,90)
set(22,13000,24200,-5000,90)
set(22,13000,24200,-4750,90)
set(22,13000,24200,-4500,90)
set(22,13000,24200,-4250,90)
set(22,13000,24200,-4000,90)
set(22,13000,24200,-3750,90)
set(22,13000,24200,-3500,90)
set(22,13000,24200,-3250,90)
set(22,13000,24200,-3000,90)
set(22,13000,24200,-2750,90)
set(22,13000,24200,-2500,90)
set(22,13000,24200,-2250,90)
set(22,13000,24200,-2000,90)
set(22,13000,24200,-1750,90)
set(22,13000,24200,-1500,90)
set(22,13000,24200,-1250,90)
set(10,9700,24200,-7000,90)p
set(10,4500,24200,-7000,90)p
set(10,-500,24200,-7000,90)p
set(14,-5000,24200,-7000,90)pt
set(27,-5000,28200,-7000,0)
set(10,-5000,28200,-7000,0)p
set(10,-5000,33200,-7250,0)p
set(20,-5000,38200,-7500,180)p
set(17,-5000,42700,-7500,0)pt
set(35,-1000,42700,-7500,90)
set(15,-600,42700,-7500,90)p
set(17,4000,42700,-7750,-90)p
set(16,4000,38100,-8000,0)p
set(21,4000,33500,-8250,180)p
set(19,4000,29500,-8500,90)
set(18,8000,29500,-8750,90)
set(19,12000,29500,-9000,-90)
set(19,12000,25500,-9250,180)
set(19,8000,25500,-9500,90)
set(19,8000,29500,-9750,0)
set(19,12000,29500,-10000,-90)
set(19,12000,25500,-10250,180)
set(19,8000,25500,-10500,90)
set(19,8000,29500,-10750,0)
set(19,12000,29500,-11000,-90)
set(19,12000,25500,-11250,180)
set(19,8000,25500,-11500,90)
set(19,8000,29500,-11750,0)
set(19,12000,29500,-12000,-90)
set(19,12000,25500,-12250,180)
set(19,8000,25500,-12500,90)
set(18,8000,30000,-12750,0)
set(22,8000,33250,-13000,0)
set(50,8000,40000,-13250,0)
set(10,8000,36250,-13250,0)

set(79,-15000,11200,-11000,90)
set(60,-20000,11200,-3000,90)

set(78,-6000,13200,-3500,90)
set(78,-6000,15200,-3500,90)
set(78,-6000,17200,-3500,90)
set(78,-8000,13200,-4000,90)
set(78,-8000,15200,-4000,90)
set(78,-8000,17200,-4000,90)

set(78,-4000,13200,-1500,90)
set(78,-4000,15200,-1500,90)
set(78,-4000,17200,-1500,90)
set(78,-6000,13200,-2000,90)
set(78,-6000,15200,-2000,90)
set(78,-6000,17200,-2000,90)

set(78,-6000,11200,250,90)


set(10,0,16800,250,0)
set(10,0,22400,250,0)
set(10,0,28000,250,0)
set(10,0,33000,250,0)

set(31,0,45200,-500,180)
set(45,-1400,27000,-1500,0)
set(45,0,27000,-1500,0)
set(45,-2800,27000,-1500,0)
set(28,-1400,31000,-2210,0)
set(28,0,31000,-2210,0)
set(28,-2800,31000,-2210,0)
set(45,-1400,35000,-1500,180)
set(45,0,35000,-1500,180)
set(45,-2800,35000,-1500,180)
set(26,0,35300,600,0)
set(26,0,36200,100,0)
set(26,0,37100,-400,0)
set(26,0,38000,-900,0)
set(26,0,38900,-1400,0)
set(26,0,39800,-1900,0)
set(26,0,40700,-2400,0)
set(26,0,41600,-2900,0)
set(26,0,42500,-3400,0)
set(26,0,43400,-3900,0)
set(26,0,44300,-4400,0)
set(26,0,45200,-4900,0)
set(26,0,46100,-5400,0)
set(26,0,47000,-5900,0)
set(26,0,47900,-6400,0)
set(26,0,48800,-6900,0)
