name(Ghosts and Magic)
snap(-40,-55,0)
sky(222,241,255)
fog(215,209,230)
ground(199,192,209)
polys(199,192,209)
texture(0,0,0,51)
fadefrom(3000)
lights()
nlaps(3)

set(47,0,0,250,0)
set(15,0,0,250,0)p
set(15,0,5600,250,0)p
set(15,0,11200,250,0)p
set(53,0,11200,250,0)pr
set(15,0,16800,250,0)p
set(21,0,22400,250,0)p
set(18,0,28000,250,0)p
set(22,0,31360,250,0)p
set(10,0,34720,250,180)pr
set(45,0,40829,250,0)pr
set(45,0,43509,250,180)p
set(10,0,47600,250,0)p
set(10,0,50400,250,180)p
set(10,0,56000,250,180)p
set(10,0,61600,250,180)p
set(10,0,67200,250,180)p
chk(40,0,69200,250,0)
set(14,0,71750,250,0)pt
set(10,4550,71750,250,90)p
set(13,10180,73270,250,-60)p
set(22,13570,74790,250,90)pr
set(36,15200,76100,250,0)pr
set(18,16930,74790,250,90)
set(36,17160,76100,250,0)
set(18,22530,74790,250,-90)p
set(22,25890,74790,250,-90)p
set(13,29280,76310,250,-60)p
set(10,34910,77830,250,90)p
chk(40,34910,77830,250,90)
set(14,39460,77830,250,-90)pt
set(10,39460,73280,250,0)p

set(10,39460,68680,250,0)p

set(10,39460,64080,250,0)pr
set(31,39460,57971,250,180)pr
set(78,39460,55500,250,0)p
set(23,39460,56291,250,0)p


set(24,39460,52740,250,0)p
set(16,39460,49940,250,180)p
set(15,39460,44340,250,0)p
set(15,39460,38740,250,0)p
set(33,39460,45340,250,0)
set(33,39460,42340,250,0)

set(15,39460,33140,250,0)p
set(15,39460,27540,250,0)p
set(15,39460,21940,250,0)p
set(34,39460,21940,250,0)pr
set(15,39460,16340,250,0)p
fix(41,39460,16340,-2000,0)
set(15,39460,10740,250,0)p

set(15,39460,5140,250,180)p
set(16,39460,-460,250,0)p
set(15,39460,-6060,250,0)p
chk(42,39460,-6060,250,0)
set(17,39460,-10610,250,180)pt
set(20,34910,-10610,250,90)p
set(12,29280,-9090,250,60)p
set(22,25890,-7570,250,-90)pr
set(36,24000,-5960,250,0)pr
set(18,22530,-7570,250,90)
set(18,16930,-7570,250,90)p
set(22,13570,-7570,250,90)p
set(12,10180,-6070,250,60)p
set(20,4550,-4550,250,-90)p
chk(40,7350,-4550,250,90)
set(17,0,-4550,250,90)pt



set(23,4200,69000,250,-90)
set(10,7000,69000,250,90)
set(13,12630,70520,250,-60)
set(10,18260,72040,250,90)
set(10,23860,72040,250,-90)
set(27,23860,72040,250,90)
set(13,29490,73560,250,-60)
set(23,32320,75080,250,90)

set(23,3940,-2200,250,-90)
set(10,6740,-2200,250,-90)
set(12,12370,-3720,250,60)
set(10,18000,-5240,250,90)
fix(41,19000,-5240,-1100,90)
set(26,18000,-5240,250,-90)
set(23,20800,-5240,250,90)



set(65,-5625,4205,250,0)
set(65,4620,17100,250,90)
set(65,3510,31825,250,180)
set(65,-2060,56770,250,-90)
set(65,6030,66820,250,0)
set(65,23460,78770,250,180)
set(65,44745,66520,250,-90)
set(65,33175,51425,250,0)
set(65,36280,34575,250,180)
set(65,35380,14980,250,-90)
set(65,43615,-11775,250,0)
set(65,31085,-1905,250,180)
set(65,12020,-12390,250,-90)
set(66,3085,1205,250,0)
set(66,-4884,13876,250,90)
set(66,-3668,28956,250,180)
set(66,2700,38888,250,-90)
set(66,1860,51008,250,0)
set(66,-2172,66084,250,90)
set(66,8236,75868,250,180)
set(66,34208,70976,250,-90)
set(66,22404,78108,250,0)
set(66,43044,60844,250,180)
set(66,42812,45768,250,-90)
set(66,45152,36188,250,0)
set(66,35496,28440,250,90)
set(66,44856,23204,250,180)
set(66,41583,7401,250,-90)
set(66,33761,-6247,250,0)
set(67,2782,4769,250,90)
set(67,-3290,10063,250,180)
set(67,-4082,22769,250,-90)
set(67,-3196,37691,250,0)
set(67,-2041,46116,250,90)
set(67,4361,65333,250,180)
set(67,1226,75257,250,-90)
set(67,16716,67800,250,0)
set(67,40407,78990,250,90)
set(67,36013,68180,250,180)
set(67,35718,59312,250,-90)
set(67,36096,45873,250,0)
set(67,43579,28873,250,90)
set(67,45706,13053,250,180)
set(67,32608,102,250,-90)
set(67,15952,-11668,250,0)
set(68,-4116,1666,250,90)
set(68,4653,25104,250,180)
set(68,-3970,43011,250,-90)
set(68,-5158,60912,250,0)
set(68,9635,65076,250,90)
set(68,8824,78003,250,180)
set(68,34995,71444,250,-90)
set(68,37038,65114,250,0)
set(68,42621,40663,250,180)
set(68,32965,22556,250,-90)
set(68,45012,12891,250,0)
set(68,23052,-12552,250,90)
set(69,-2284,-6995,250,180)
set(69,-3388,23593,250,-90)
set(69,3497,46230,250,0)
set(69,-5224,53296,250,90)
set(69,2108,76228,250,-90)
set(69,44184,72853,250,0)
set(69,36597,55327,250,90)
set(69,33448,5339,250,180)
set(69,12918,1089,250,-90)
set(70,3445,3340,250,0)
set(70,-2810,18955,250,90)
set(70,-6245,34415,250,180)
set(70,5320,55605,250,-90)
set(70,-3705,71930,250,0)
set(70,16100,65725,250,90)
set(70,34472,80876,250,180)
set(70,33424,60192,250,-90)
set(70,44396,50184,250,0)
set(70,33036,41560,250,90)
set(70,44622,26604,250,180)
set(70,35792,18202,250,-90)
set(70,44300,-100,250,0)
set(70,29716,-3844,250,90)
set(70,16850,-1350,250,180)
set(70,11650,-11050,250,-90)
set(71,-3367,-2181,250,0)
set(71,3918,9551,250,90)
set(71,-5196,8116,250,180)
set(71,4631,29042,250,-90)
set(71,-4212,49549,250,0)
set(71,3667,62326,250,90)
set(71,-3448,74903,250,180)
set(71,21098,68768,250,0)
set(71,27486,79311,250,180)
set(71,42443,75072,250,-90)
set(71,44034,59559,250,0)
set(71,34710,46552,250,90)
set(71,44996,35593,250,180)
set(71,34266,31369,250,-90)
set(71,45662,18310,250,0)
set(71,42073,7721,250,90)
set(71,35894,-1781,250,180)
set(71,35672,-12612,250,-90)
set(71,4042,-7776,250,0)
set(71,-6902,-5387,250,90)
set(72,6293,20720,250,-90)
set(72,-5940,27579,250,0)
set(72,5330,50070,250,90)
set(72,-2884,63178,250,180)
set(72,27957,69133,250,0)
set(72,14816,80385,250,90)
set(72,30932,63378,250,-90)
set(72,45883,44005,250,0)
set(72,32933,38328,250,90)
set(72,33322,8962,250,180)
set(72,28437,-13253,250,-90)
set(72,23849,-599,250,0)
set(72,18042,-9977,250,90)
set(72,-1760,-11956,250,180)
set(72,8050,70500,250,-90)
pile(103,3,6,-3275,3700)
pile(8,4,2,3330,11985)
pile(486,4,2,-5450,16425)
pile(3968,4,2,4735,21990)
pile(3744,4,2,-4440,31325)
pile(2973,5,3,3190,34230)
pile(2887,5,3,-5770,40050)
pile(4341,5,3,3960,43045)
pile(3063,5,3,-3275,53265)
pile(7801,5,3,-3100,60510)
pile(8478,2,5,-4465,58445)
pile(4815,6,3,3550,59320)
pile(4907,6,3,-4185,68860)
pile(8746,6,6,5410,74995)
pile(8095,6,6,13765,66005)
pile(4917,5,3,12925,63940)
pile(950,6,3,15620,63660)
pile(9471,6,3,20035,80100)
pile(1727,3,4,19020,80555)
pile(3412,4,6,21085,79645)
pile(5164,5,6,31860,67900)
pile(3402,2,3,30460,67795)
pile(9253,5,3,30705,69055)
pile(8863,5,3,36795,72765)
pile(5028,5,3,43340,66865)
pile(1877,4,3,33750,64240)
pile(1295,4,3,36550,60320)
pile(4341,4,3,43130,53300)
pile(9308,4,3,43515,52390)
pile(3050,6,3,42290,52145)
pile(9648,6,3,37345,49555)
pile(6183,3,5,35490,49695)
pile(3966,5,3,35800,50760)
pile(4643,5,3,35240,43025)
pile(9514,5,3,34330,44215)
pile(5529,4,3,44060,43690)
pile(9284,4,3,44585,42150)
pile(6818,5,2,35275,35885)
pile(7750,5,2,43185,36305)
pile(3190,3,5,34400,38020)
pile(7763,3,5,42965,31070)
pile(4286,5,3,44260,30300)
pile(5922,6,4,35545,23930)
pile(6568,6,4,33005,28990)
pile(9916,6,4,42840,18790)
pile(857,2,3,46305,20085)
pile(3452,2,3,44205,19350)
pile(6305,5,5,33545,12320)
