
snap(-40,-40,-32)

sky(0,0,40)
fog(15,30,90) 
ground(30,160,20)

fadefrom(1500)

name(Super Bowl)

nlaps(8)

set(10,0,0,0)
set(10,0,5000,0)
set(10,0,8000,0)
set(14,0,12000,-90)
chk(40,-3000,12800,0)
set(14,-6000,12000,0)
set(10,-6000,8000,0)
set(10,-6000,5000,0)
set(10,-6000,0,0)
set(14,0,-4500,180)
set(22,-4000,12000,90)
set(22,-2000,12000,90)
set(22,-3000,12000,90)

set(33,-3000,-2250,0)
set(33,-3000,-250,0)
set(33,-3000,1750,0)
set(33,-3000,3750,0)
set(33,-3000,5750,0)
set(33,-3000,7750,0)
set(33,-3000,9750,0)


set(36,3000,-5700,-90)
set(36,3000,-3800,-90)
set(36,3000,-1900,-90)
set(36,3000,0,-90)
set(36,3000,1900,-90)
set(36,3000,3800,-90)
set(36,3000,5700,-90)
set(36,3000,7600,-90)
set(36,3000,9500,-90)
set(36,3000,11400,-90)
set(36,3000,13300,-90)

set(36,2800,13800,-72)
set(36,2600,14300,-54)
set(36,2400,14800,-36)
set(36,2200,15300,-18)
set(36,2000,15800,0)

set(36,200,15800,0)
set(36,-1100,15800,0)
set(36,-3000,15800,0)
set(36,-4900,15800,0)
set(36,-6800,15800,0)

set(36,-8000,15800,0)
set(36,-8200,15300,18)
set(36,-8400,14800,36)
set(36,-8600,14300,54)
set(36,-8800,13800,72)

set(36,-8800,-6200,108)
set(36,-8600,-6700,126)
set(36,-8400,-7200,144)
set(36,-8200,-7700,162)
set(36,-8000,-8200,180)

set(36,200,-8200,180)
set(36,-1100,-8200,180)
set(36,-3000,-8200,180)
set(36,-4900,-8200,180)
set(36,-6800,-8200,180)

set(36,2800,-6200,-108)
set(36,2600,-6700,-126)
set(36,2400,-7200,-144)
set(36,2200,-7700,-162)
set(36,2000,-8200,-180)

set(36,-9000,-5700,90)
set(36,-9000,-3800,90)
set(36,-9000,-1900,90)
set(36,-9000,13300,90)
set(36,-9000,11400,90)
set(36,-9000,9500,90)
set(36,-9000,7600,90)
set(36,-9000,5700,90)
set(36,-9000,3800,90)
set(36,-9000,1900,90)
set(36,-9000,0,90)

chk(40,-3000,-5300,0)
set(22,-4000,-4500,90)
set(22,-3000,-4500,90)
set(22,-2000,-4500,90)
set(14,-6000,-4500,90)p



maxr(10,4000,-9000)
maxb(4,-9200,-9000)
maxl(10,-10000,-9000)
maxt(4,16800,-9000)
